timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764308209129,89,Create Batch Booking,500,Internal Server Error,Write Operations - Batch Booking 3-1,text,false,,422,288,1,4,http://localhost:4000/api/booking/batch,87,0,38
1764308209129,89,Get All Flights,200,OK,Read Operations - Flights & Seats 1-1,text,true,,1579,158,1,4,http://localhost:4000/api/flight,85,0,38
1764308209129,89,Top Routes Report,200,OK,Analytics Operations - Reports 4-1,text,true,,1474,170,1,4,http://localhost:4000/api/reports/routes/top,85,0,38
1764308209129,89,Create Single Booking,500,Internal Server Error,Write Operations - Single Seat Booking 2-1,text,false,,431,276,1,4,http://localhost:4000/api/booking/single,86,0,38
1764308209221,8,Seat Utilization Report,200,OK,Analytics Operations - Reports 4-1,text,true,,570,187,1,4,http://localhost:4000/api/reports/operations/seat-utilization,8,0,0
1764308209221,9,Get Seats for Flight 1,200,OK,Read Operations - Flights & Seats 1-1,text,true,,9450,166,1,4,http://localhost:4000/api/flight/1/seats,9,0,0
1764308209221,10,Create Single Booking,500,Internal Server Error,Write Operations - Single Seat Booking 2-1,text,false,,431,276,1,4,http://localhost:4000/api/booking/single,10,0,0
1764308209221,12,Create Batch Booking,500,Internal Server Error,Write Operations - Batch Booking 3-1,text,false,,422,289,1,4,http://localhost:4000/api/booking/batch,12,0,0
1764308209230,6,Customer Segments Report,200,OK,Analytics Operations - Reports 4-1,text,true,,493,178,1,5,http://localhost:4000/api/reports/customers/segments,6,0,0
1764308209231,8,Get All Flights,200,OK,Read Operations - Flights & Seats 1-1,text,true,,1579,158,2,5,http://localhost:4000/api/flight,8,0,0
1764308209231,9,Create Single Booking,500,Internal Server Error,Write Operations - Single Seat Booking 2-1,text,false,,431,276,1,5,http://localhost:4000/api/booking/single,9,0,0
1764308209235,10,Get All Flights,200,OK,Read Operations - Flights & Seats 1-2,text,true,,1579,158,2,5,http://localhost:4000/api/flight,10,0,1
1764308209237,9,Flight Occupancy Report,200,OK,Analytics Operations - Reports 4-1,text,true,,987,169,1,5,http://localhost:4000/api/reports/occupancy,8,0,0
1764308209240,7,Get Seats for Flight 1,200,OK,Read Operations - Flights & Seats 1-1,text,true,,9450,166,2,5,http://localhost:4000/api/flight/1/seats,7,0,0
1764308209233,14,Create Batch Booking,500,Internal Server Error,Write Operations - Batch Booking 3-1,text,false,,422,289,1,5,http://localhost:4000/api/booking/batch,14,0,0
1764308209246,5,Get Seats for Flight 1,200,OK,Read Operations - Flights & Seats 1-2,text,true,,9450,166,2,4,http://localhost:4000/api/flight/1/seats,5,0,0
1764308209246,7,Top Routes Report,200,OK,Analytics Operations - Reports 4-1,text,true,,1474,170,1,4,http://localhost:4000/api/reports/routes/top,7,0,0
1764308209247,7,Get All Flights,200,OK,Read Operations - Flights & Seats 1-1,text,true,,1579,158,2,4,http://localhost:4000/api/flight,7,0,0
1764308209252,6,Get All Flights,200,OK,Read Operations - Flights & Seats 1-2,text,true,,1579,158,2,4,http://localhost:4000/api/flight,6,0,0
1764308209253,7,Seat Utilization Report,200,OK,Analytics Operations - Reports 4-1,text,true,,570,187,1,4,http://localhost:4000/api/reports/operations/seat-utilization,7,0,0
1764308209255,8,Get Seats for Flight 1,200,OK,Read Operations - Flights & Seats 1-1,text,true,,9450,166,2,4,http://localhost:4000/api/flight/1/seats,8,0,0
